Gen.Cov,Length,Kmer,Coverage,N50,Total.Contigs,Name
100,250,201,0.94932484,156777,66,250-100-201
10,250,201,0.94122301,156703,72,250-10-201
25,250,201,0.94337134,156703,71,250-25-201
50,250,201,0.94376672,156703,71,250-50-201
100,250,141,0.94750895,135012,76,250-100-141
25,250,141,0.94760084,135012,77,250-25-141
50,250,141,0.94760084,135012,77,250-50-141
100,250,181,0.94913113,135012,67,250-100-181
50,250,181,0.94913334,135012,66,250-50-181
100,250,161,0.94918900,135012,71,250-100-161
50,250,161,0.94919121,135012,71,250-50-161
10,250,181,0.94297883,134343,72,250-10-181
10,250,161,0.94334395,134323,74,250-10-161
50,150,141,0.94185651,134303,80,150-50-141
7,250,141,0.94202858,134303,81,250-7-141
10,250,141,0.94223886,134303,80,250-10-141
25,250,181,0.94308375,133258,73,250-25-181
25,250,161,0.94292250,133218,77,250-25-161
7,250,161,0.94301350,133218,76,250-7-161
100,150,141,0.94026769,133178,84,150-100-141
10,250,121,0.94570565,125806,87,250-10-121
7,250,121,0.94133014,125741,92,250-7-121
7,250,101,0.94285866,125722,95,250-7-101
4,250,121,0.93991869,125692,93,250-4-121
10,150,121,0.93817790,125691,94,150-10-121
25,150,121,0.94009098,125691,93,150-25-121
50,150,121,0.94121528,125691,93,150-50-121
7,150,101,0.93977202,125651,99,150-7-101
10,250,101,0.94090229,125651,99,250-10-101
4,250,101,0.94110020,125651,99,250-4-101
10,150,101,0.94185784,125651,96,150-10-101
50,150,101,0.94800815,124218,91,150-50-101
100,150,101,0.94800815,124218,91,150-100-101
100,150,121,0.94807640,124218,86,150-100-121
100,250,101,0.94812235,124218,90,250-100-101
25,250,101,0.94815327,124218,91,250-25-101
50,250,101,0.94815327,124218,91,250-50-101
50,250,121,0.94835671,124218,84,250-50-121
100,250,121,0.94862574,124218,84,250-100-121
25,250,121,0.94865225,124218,85,250-25-121
25,150,101,0.94565705,124147,94,150-25-101
25,250,81,0.98037329,86674,116,250-25-81
50,250,81,0.98037329,86674,116,250-50-81
100,250,81,0.98045899,86674,113,250-100-81
50,150,81,0.98047843,86674,114,150-50-81
100,150,81,0.98054381,86674,115,150-100-81
25,150,81,0.98063636,86674,116,150-25-81
7,250,81,0.97299353,86568,126,250-7-81
7,150,81,0.97393891,86568,124,150-7-81
10,150,81,0.97441271,86568,123,150-10-81
10,250,81,0.97584272,86568,118,250-10-81
4,250,81,0.97318459,86560,125,250-4-81
10,250,61,0.97060775,76299,141,250-10-61
7,250,61,0.97759632,76299,141,250-7-61
100,250,61,0.98000816,76299,140,250-100-61
25,250,61,0.98007598,76299,140,250-25-61
50,250,61,0.98007598,76299,140,250-50-61
25,150,61,0.98042740,76299,139,150-25-61
50,150,61,0.98042740,76299,139,150-50-61
100,150,61,0.98042740,76299,139,150-100-61
7,150,61,0.97585531,76203,148,150-7-61
4,150,61,0.97417747,75500,152,150-4-61
10,150,61,0.97369660,75499,150,150-10-61
4,250,61,0.97370787,75499,152,250-4-61
7,250,41,0.98366005,41805,240,250-7-41
7,150,41,0.98420409,41805,235,150-7-41
10,150,41,0.98639438,41805,234,150-10-41
10,250,41,0.98699828,41805,235,250-10-41
100,250,41,0.98813937,41805,232,250-100-41
50,150,41,0.98840333,41805,232,150-50-41
25,250,41,0.98881926,41805,233,250-25-41
50,250,41,0.98882257,41805,233,250-50-41
100,150,41,0.98882412,41805,233,150-100-41
25,150,41,0.98915566,41805,233,150-25-41
4,250,41,0.98179358,41275,245,250-4-41
4,150,41,0.98087889,37758,258,150-4-41
100,250,21,0.98101960,10839,833,250-100-21
7,250,21,0.97780793,10533,853,250-7-21
10,150,21,0.97849267,10533,854,150-10-21
10,250,21,0.97876370,10533,850,250-10-21
7,150,21,0.97929493,10533,851,150-7-21
50,250,21,0.98081749,10528,848,250-50-21
100,150,21,0.98081903,10528,847,150-100-21
25,150,21,0.98085128,10528,848,150-25-21
50,150,21,0.98087492,10528,849,150-50-21
25,250,21,0.98139024,10528,850,250-25-21
4,250,21,0.97604218,10523,862,250-4-21
4,150,21,0.97637527,10521,863,150-4-21